Member_number,Date,itemDescription,year,month,day,day_of_week
1065,7/23/2023,yogurt,2023,7,23,6
1045,1/25/2023,milk,2023,1,25,2
1045,1/25/2023,butter,2023,1,25,2
1045,1/25/2023,cheese,2023,1,25,2
1045,1/25/2023,cereal,2023,1,25,2
1055,7/24/2023,spinach,2023,7,24,0
1055,7/24/2023,apples,2023,7,24,0
1055,7/24/2023,cereal,2023,7,24,0
1055,7/24/2023,jam,2023,7,24,0
1055,7/24/2023,oranges,2023,7,24,0
1088,9/12/2023,spinach,2023,9,12,1
1088,9/12/2023,cheese,2023,9,12,1
1088,9/12/2023,chicken,2023,9,12,1
1088,9/12/2023,milk,2023,9,12,1
1010,8/6/2023,apples,2023,8,6,6
1010,8/6/2023,rice,2023,8,6,6
1023,10/7/2023,cereal,2023,10,7,5
1023,10/7/2023,butter,2023,10,7,5
1023,10/7/2023,yogurt,2023,10,7,5
1023,10/7/2023,spinach,2023,10,7,5
1084,6/1/2023,oranges,2023,6,1,3
1084,6/1/2023,rice,2023,6,1,3
1084,6/1/2023,pasta,2023,6,1,3
1084,6/1/2023,apples,2023,6,1,3
1021,12/20/2023,cereal,2023,12,20,2
1021,12/20/2023,oranges,2023,12,20,2
1021,12/20/2023,bread,2023,12,20,2
1021,12/20/2023,pasta,2023,12,20,2
1021,12/20/2023,spinach,2023,12,20,2
1078,8/11/2023,beans,2023,8,11,4
1078,8/11/2023,cheese,2023,8,11,4
1078,8/11/2023,bread,2023,8,11,4
1078,8/11/2023,butter,2023,8,11,4
1085,11/23/2023,cereal,2023,11,23,3
1085,11/23/2023,chicken,2023,11,23,3
1085,11/23/2023,cheese,2023,11,23,3
1085,11/23/2023,pasta,2023,11,23,3
1085,11/23/2023,beans,2023,11,23,3
1020,1/16/2023,yogurt,2023,1,16,0
1020,1/16/2023,rice,2023,1,16,0
1020,1/16/2023,beans,2023,1,16,0
1056,1/18/2023,butter,2023,1,18,2
1056,1/18/2023,eggs,2023,1,18,2
1056,1/18/2023,cheese,2023,1,18,2
1082,7/7/2023,apples,2023,7,7,4
1082,7/7/2023,rice,2023,7,7,4
1082,7/7/2023,bread,2023,7,7,4
1082,7/7/2023,yogurt,2023,7,7,4
1019,12/14/2023,cereal,2023,12,14,3
1019,12/14/2023,spinach,2023,12,14,3
1019,12/14/2023,oranges,2023,12,14,3
1019,12/14/2023,butter,2023,12,14,3
1019,12/14/2023,rice,2023,12,14,3
1017,9/29/2023,apples,2023,9,29,4
1017,9/29/2023,cereal,2023,9,29,4
1017,9/29/2023,beans,2023,9,29,4
1017,9/29/2023,milk,2023,9,29,4
1031,2/28/2023,pasta,2023,2,28,1
1031,2/28/2023,jam,2023,2,28,1
1063,9/23/2023,spinach,2023,9,23,5
1063,9/23/2023,chicken,2023,9,23,5
1063,9/23/2023,butter,2023,9,23,5
1063,9/23/2023,milk,2023,9,23,5
1063,9/23/2023,pasta,2023,9,23,5
1090,8/17/2023,rice,2023,8,17,3
1090,8/17/2023,milk,2023,8,17,3
1090,8/17/2023,pasta,2023,8,17,3
1062,4/13/2023,jam,2023,4,13,3
1062,4/13/2023,yogurt,2023,4,13,3
1009,8/20/2023,spinach,2023,8,20,6
1009,8/20/2023,pasta,2023,8,20,6
1009,8/20/2023,oranges,2023,8,20,6
1011,12/16/2023,beans,2023,12,16,5
1011,12/16/2023,cereal,2023,12,16,5
1011,12/16/2023,pasta,2023,12,16,5
1011,12/16/2023,butter,2023,12,16,5
1070,10/5/2023,spinach,2023,10,5,3
1070,10/5/2023,milk,2023,10,5,3
1070,10/5/2023,jam,2023,10,5,3
1070,10/5/2023,pasta,2023,10,5,3
1090,12/25/2023,cheese,2023,12,25,0
1090,12/25/2023,cereal,2023,12,25,0
1090,12/25/2023,chicken,2023,12,25,0
1028,3/4/2023,cheese,2023,3,4,5
1028,3/4/2023,jam,2023,3,4,5
1028,3/4/2023,eggs,2023,3,4,5
1063,1/14/2023,chicken,2023,1,14,5
1063,1/14/2023,rice,2023,1,14,5
1063,1/14/2023,cereal,2023,1,14,5
1063,1/14/2023,oranges,2023,1,14,5
1070,3/8/2023,spinach,2023,3,8,2
1070,3/8/2023,butter,2023,3,8,2
1070,3/8/2023,yogurt,2023,3,8,2
1070,3/8/2023,milk,2023,3,8,2
1070,3/8/2023,apples,2023,3,8,2
1070,3/8/2023,oranges,2023,3,8,2
1067,7/30/2023,yogurt,2023,7,30,6
1067,7/30/2023,rice,2023,7,30,6
1067,7/30/2023,butter,2023,7,30,6
1067,7/30/2023,jam,2023,7,30,6
1067,7/30/2023,cereal,2023,7,30,6
1082,2/7/2023,oranges,2023,2,7,1
1082,2/7/2023,beans,2023,2,7,1
1082,2/7/2023,chicken,2023,2,7,1
1082,2/7/2023,cereal,2023,2,7,1
1082,2/7/2023,jam,2023,2,7,1
1099,10/10/2023,jam,2023,10,10,1
1099,10/10/2023,cheese,2023,10,10,1
1099,10/10/2023,spinach,2023,10,10,1
1099,10/10/2023,apples,2023,10,10,1
1099,10/10/2023,chicken,2023,10,10,1
1099,10/10/2023,bread,2023,10,10,1
1015,9/23/2023,milk,2023,9,23,5
1015,9/23/2023,jam,2023,9,23,5
1015,9/23/2023,yogurt,2023,9,23,5
1041,12/30/2023,cereal,2023,12,30,5
1041,12/30/2023,chicken,2023,12,30,5
1041,12/30/2023,milk,2023,12,30,5
1010,5/9/2023,beans,2023,5,9,1
1010,5/9/2023,chicken,2023,5,9,1
1010,5/9/2023,milk,2023,5,9,1
1016,11/17/2023,rice,2023,11,17,4
1016,11/17/2023,chicken,2023,11,17,4
1016,11/17/2023,butter,2023,11,17,4
1016,11/17/2023,yogurt,2023,11,17,4
1082,3/28/2023,rice,2023,3,28,1
1082,3/28/2023,jam,2023,3,28,1
1082,3/28/2023,yogurt,2023,3,28,1
1082,3/28/2023,beans,2023,3,28,1
1082,3/28/2023,spinach,2023,3,28,1
1082,3/28/2023,pasta,2023,3,28,1
1043,10/16/2023,yogurt,2023,10,16,0
1043,10/16/2023,spinach,2023,10,16,0
1003,2/11/2023,beans,2023,2,11,5
1003,2/11/2023,cheese,2023,2,11,5
1073,5/16/2023,cheese,2023,5,16,1
1073,5/16/2023,rice,2023,5,16,1
1073,5/16/2023,apples,2023,5,16,1
1079,11/24/2023,oranges,2023,11,24,4
1079,11/24/2023,beans,2023,11,24,4
1069,5/29/2023,oranges,2023,5,29,0
1069,5/29/2023,eggs,2023,5,29,0
1069,5/29/2023,cheese,2023,5,29,0
1069,5/29/2023,beans,2023,5,29,0
1051,6/2/2023,butter,2023,6,2,4
1051,6/2/2023,pasta,2023,6,2,4
1051,6/2/2023,bread,2023,6,2,4
1051,6/2/2023,jam,2023,6,2,4
1051,6/2/2023,oranges,2023,6,2,4
1053,9/5/2023,eggs,2023,9,5,1
1053,9/5/2023,cereal,2023,9,5,1
1053,9/5/2023,rice,2023,9,5,1
1053,9/5/2023,jam,2023,9,5,1
1053,9/5/2023,yogurt,2023,9,5,1
1091,6/13/2023,apples,2023,6,13,1
1091,6/13/2023,jam,2023,6,13,1
1091,6/13/2023,cheese,2023,6,13,1
1091,6/13/2023,cereal,2023,6,13,1
1065,10/15/2023,cereal,2023,10,15,6
1065,10/15/2023,eggs,2023,10,15,6
1059,3/4/2023,oranges,2023,3,4,5
1059,3/4/2023,eggs,2023,3,4,5
1059,3/4/2023,jam,2023,3,4,5
1059,3/4/2023,butter,2023,3,4,5
1006,5/29/2023,yogurt,2023,5,29,0
1006,5/29/2023,rice,2023,5,29,0
1006,5/29/2023,apples,2023,5,29,0
1006,5/29/2023,eggs,2023,5,29,0
1006,5/29/2023,jam,2023,5,29,0
1041,10/23/2023,eggs,2023,10,23,0
1041,10/23/2023,cheese,2023,10,23,0
1041,10/23/2023,jam,2023,10,23,0
1041,10/23/2023,oranges,2023,10,23,0
1065,8/28/2023,spinach,2023,8,28,0
1065,8/28/2023,milk,2023,8,28,0
1065,8/28/2023,oranges,2023,8,28,0
1065,8/28/2023,bread,2023,8,28,0
1065,8/28/2023,butter,2023,8,28,0
1050,9/16/2023,eggs,2023,9,16,5
1050,9/16/2023,spinach,2023,9,16,5
1050,9/16/2023,rice,2023,9,16,5
1050,9/16/2023,cereal,2023,9,16,5
1050,9/16/2023,bread,2023,9,16,5
1006,5/25/2023,rice,2023,5,25,3
1006,5/25/2023,yogurt,2023,5,25,3
1006,5/25/2023,beans,2023,5,25,3
1006,5/25/2023,cheese,2023,5,25,3
1006,5/25/2023,oranges,2023,5,25,3
1036,10/2/2023,yogurt,2023,10,2,0
1036,10/2/2023,butter,2023,10,2,0
1055,3/10/2023,pasta,2023,3,10,4
1055,3/10/2023,cereal,2023,3,10,4
1055,3/10/2023,cheese,2023,3,10,4
1055,3/10/2023,apples,2023,3,10,4
1046,1/24/2023,bread,2023,1,24,1
1046,1/24/2023,rice,2023,1,24,1
1046,1/24/2023,chicken,2023,1,24,1
1046,1/24/2023,eggs,2023,1,24,1
1046,1/24/2023,cereal,2023,1,24,1
1070,5/28/2023,apples,2023,5,28,6
1070,5/28/2023,chicken,2023,5,28,6
1057,10/9/2023,yogurt,2023,10,9,0
1057,10/9/2023,rice,2023,10,9,0
1057,10/9/2023,beans,2023,10,9,0
1057,10/9/2023,spinach,2023,10,9,0
1015,3/7/2023,apples,2023,3,7,1
1015,3/7/2023,cereal,2023,3,7,1
1043,10/13/2023,cheese,2023,10,13,4
1043,10/13/2023,jam,2023,10,13,4
1043,10/13/2023,eggs,2023,10,13,4
1043,10/13/2023,rice,2023,10,13,4
1065,7/25/2023,bread,2023,7,25,1
1065,7/25/2023,spinach,2023,7,25,1
1065,7/25/2023,yogurt,2023,7,25,1
1065,7/25/2023,jam,2023,7,25,1
1065,7/25/2023,cereal,2023,7,25,1
1065,7/25/2023,oranges,2023,7,25,1
1066,8/22/2023,rice,2023,8,22,1
1066,8/22/2023,chicken,2023,8,22,1
1066,8/22/2023,jam,2023,8,22,1
1041,11/10/2023,jam,2023,11,10,4
1041,11/10/2023,apples,2023,11,10,4
1041,11/10/2023,rice,2023,11,10,4
1041,11/10/2023,pasta,2023,11,10,4
1038,10/31/2023,chicken,2023,10,31,1
1038,10/31/2023,yogurt,2023,10,31,1
1038,10/31/2023,spinach,2023,10,31,1
1038,10/31/2023,cheese,2023,10,31,1
1062,12/29/2023,milk,2023,12,29,4
1062,12/29/2023,oranges,2023,12,29,4
1062,12/29/2023,bread,2023,12,29,4
1062,12/29/2023,cereal,2023,12,29,4
1062,12/29/2023,pasta,2023,12,29,4
1062,12/29/2023,butter,2023,12,29,4
1053,10/26/2023,cheese,2023,10,26,3
1053,10/26/2023,pasta,2023,10,26,3
1053,10/26/2023,yogurt,2023,10,26,3
1053,10/26/2023,beans,2023,10,26,3
1003,11/2/2023,milk,2023,11,2,3
1003,11/2/2023,beans,2023,11,2,3
1003,11/2/2023,cheese,2023,11,2,3
1003,11/2/2023,rice,2023,11,2,3
1003,11/2/2023,pasta,2023,11,2,3
1029,1/27/2023,oranges,2023,1,27,4
1029,1/27/2023,jam,2023,1,27,4
1029,1/27/2023,chicken,2023,1,27,4
1029,1/27/2023,beans,2023,1,27,4
1029,1/27/2023,rice,2023,1,27,4
1029,1/27/2023,apples,2023,1,27,4
1018,12/15/2023,bread,2023,12,15,4
1018,12/15/2023,rice,2023,12,15,4
1018,12/15/2023,pasta,2023,12,15,4
1014,4/8/2023,oranges,2023,4,8,5
1014,4/8/2023,cereal,2023,4,8,5
1053,3/19/2023,pasta,2023,3,19,6
1053,3/19/2023,eggs,2023,3,19,6
1053,3/19/2023,apples,2023,3,19,6
1053,3/19/2023,chicken,2023,3,19,6
1053,3/19/2023,rice,2023,3,19,6
1060,2/1/2023,chicken,2023,2,1,2
1060,2/1/2023,eggs,2023,2,1,2
1060,2/1/2023,spinach,2023,2,1,2
1041,12/6/2023,chicken,2023,12,6,2
1041,12/6/2023,apples,2023,12,6,2
1041,12/6/2023,cereal,2023,12,6,2
1041,12/6/2023,jam,2023,12,6,2
1041,12/6/2023,oranges,2023,12,6,2
1068,6/25/2023,cereal,2023,6,25,6
1068,6/25/2023,beans,2023,6,25,6
1068,6/25/2023,cheese,2023,6,25,6
1068,6/25/2023,pasta,2023,6,25,6
1068,6/25/2023,yogurt,2023,6,25,6
1068,6/25/2023,milk,2023,6,25,6
1078,9/5/2023,eggs,2023,9,5,1
1078,9/5/2023,milk,2023,9,5,1
1078,9/5/2023,chicken,2023,9,5,1
1038,4/26/2023,cheese,2023,4,26,2
1038,4/26/2023,milk,2023,4,26,2
1038,4/26/2023,pasta,2023,4,26,2
1038,4/26/2023,eggs,2023,4,26,2
1088,12/27/2023,cereal,2023,12,27,2
1088,12/27/2023,oranges,2023,12,27,2
1088,12/27/2023,spinach,2023,12,27,2
1088,12/27/2023,chicken,2023,12,27,2
1088,12/27/2023,milk,2023,12,27,2
1036,3/4/2023,beans,2023,3,4,5
1036,3/4/2023,chicken,2023,3,4,5
1036,3/4/2023,apples,2023,3,4,5
1036,3/4/2023,cheese,2023,3,4,5
1036,3/4/2023,cereal,2023,3,4,5
1036,3/4/2023,jam,2023,3,4,5
1037,1/22/2023,pasta,2023,1,22,6
1037,1/22/2023,butter,2023,1,22,6
1037,1/22/2023,cereal,2023,1,22,6
1037,1/22/2023,oranges,2023,1,22,6
1083,5/12/2023,eggs,2023,5,12,4
1083,5/12/2023,spinach,2023,5,12,4
1083,5/12/2023,chicken,2023,5,12,4
1083,5/12/2023,milk,2023,5,12,4
1083,5/12/2023,cheese,2023,5,12,4
1089,5/20/2023,butter,2023,5,20,5
1089,5/20/2023,rice,2023,5,20,5
1089,5/20/2023,pasta,2023,5,20,5
1075,5/3/2023,bread,2023,5,3,2
1075,5/3/2023,beans,2023,5,3,2
1075,5/3/2023,chicken,2023,5,3,2
1028,11/23/2023,bread,2023,11,23,3
1028,11/23/2023,butter,2023,11,23,3
1028,11/23/2023,apples,2023,11,23,3
1042,8/30/2023,beans,2023,8,30,2
1042,8/30/2023,cheese,2023,8,30,2
1017,1/3/2023,spinach,2023,1,3,1
1017,1/3/2023,jam,2023,1,3,1
1017,1/3/2023,apples,2023,1,3,1
1017,1/3/2023,beans,2023,1,3,1
1017,1/3/2023,oranges,2023,1,3,1
1017,1/3/2023,pasta,2023,1,3,1
1083,4/13/2023,cereal,2023,4,13,3
1083,4/13/2023,milk,2023,4,13,3
1083,4/13/2023,beans,2023,4,13,3
1083,4/13/2023,bread,2023,4,13,3
1098,2/15/2023,eggs,2023,2,15,2
1098,2/15/2023,chicken,2023,2,15,2
1098,2/15/2023,pasta,2023,2,15,2
1098,2/15/2023,cheese,2023,2,15,2
1098,2/15/2023,bread,2023,2,15,2
1098,2/15/2023,jam,2023,2,15,2
1053,4/1/2023,yogurt,2023,4,1,5
1053,4/1/2023,apples,2023,4,1,5
1063,4/6/2023,spinach,2023,4,6,3
1063,4/6/2023,bread,2023,4,6,3
1063,4/6/2023,yogurt,2023,4,6,3
1063,4/6/2023,milk,2023,4,6,3
1072,11/5/2023,spinach,2023,11,5,6
1072,11/5/2023,cereal,2023,11,5,6
1036,8/21/2023,chicken,2023,8,21,0
1036,8/21/2023,oranges,2023,8,21,0
1036,8/21/2023,jam,2023,8,21,0
1036,8/21/2023,spinach,2023,8,21,0
1036,8/21/2023,yogurt,2023,8,21,0
1036,8/21/2023,milk,2023,8,21,0
1024,2/27/2023,jam,2023,2,27,0
1024,2/27/2023,pasta,2023,2,27,0
1024,2/27/2023,oranges,2023,2,27,0
1024,2/27/2023,beans,2023,2,27,0
1032,4/6/2023,pasta,2023,4,6,3
1032,4/6/2023,cereal,2023,4,6,3
1037,10/18/2023,jam,2023,10,18,2
1037,10/18/2023,rice,2023,10,18,2
1037,10/18/2023,beans,2023,10,18,2
1051,8/7/2023,cereal,2023,8,7,0
1051,8/7/2023,butter,2023,8,7,0
1051,8/7/2023,apples,2023,8,7,0
1051,8/7/2023,beans,2023,8,7,0
1051,8/7/2023,yogurt,2023,8,7,0
1051,8/7/2023,jam,2023,8,7,0
1017,9/2/2023,spinach,2023,9,2,5
1017,9/2/2023,eggs,2023,9,2,5
1017,9/2/2023,bread,2023,9,2,5
1017,9/2/2023,milk,2023,9,2,5
1049,5/1/2023,cheese,2023,5,1,0
1049,5/1/2023,milk,2023,5,1,0
1049,5/1/2023,cereal,2023,5,1,0
1049,5/1/2023,yogurt,2023,5,1,0
1049,5/1/2023,rice,2023,5,1,0
1092,10/21/2023,milk,2023,10,21,5
1092,10/21/2023,beans,2023,10,21,5
1046,12/21/2023,bread,2023,12,21,3
1046,12/21/2023,beans,2023,12,21,3
1046,12/21/2023,butter,2023,12,21,3
1059,6/7/2023,apples,2023,6,7,2
1059,6/7/2023,beans,2023,6,7,2
1059,6/7/2023,chicken,2023,6,7,2
1090,6/9/2023,beans,2023,6,9,4
1090,6/9/2023,milk,2023,6,9,4
1047,11/11/2023,eggs,2023,11,11,5
1047,11/11/2023,jam,2023,11,11,5
1047,11/11/2023,oranges,2023,11,11,5
1019,8/21/2023,cereal,2023,8,21,0
1019,8/21/2023,apples,2023,8,21,0
1019,8/21/2023,pasta,2023,8,21,0
1019,8/21/2023,chicken,2023,8,21,0
1019,8/21/2023,oranges,2023,8,21,0
1019,8/21/2023,cheese,2023,8,21,0
1085,4/22/2023,beans,2023,4,22,5
1085,4/22/2023,cheese,2023,4,22,5
1085,4/22/2023,rice,2023,4,22,5
1010,9/27/2023,chicken,2023,9,27,2
1010,9/27/2023,pasta,2023,9,27,2
1010,9/27/2023,cereal,2023,9,27,2
1010,9/27/2023,butter,2023,9,27,2
1010,9/27/2023,rice,2023,9,27,2
1014,2/1/2023,spinach,2023,2,1,2
1014,2/1/2023,chicken,2023,2,1,2
1014,2/1/2023,eggs,2023,2,1,2
1014,2/1/2023,rice,2023,2,1,2
1014,2/1/2023,yogurt,2023,2,1,2
1014,2/1/2023,jam,2023,2,1,2
1021,6/17/2023,oranges,2023,6,17,5
1021,6/17/2023,butter,2023,6,17,5
1021,6/17/2023,beans,2023,6,17,5
1021,6/17/2023,eggs,2023,6,17,5
1021,6/17/2023,rice,2023,6,17,5
1021,6/17/2023,spinach,2023,6,17,5
1011,9/19/2023,cheese,2023,9,19,1
1011,9/19/2023,bread,2023,9,19,1
1011,9/19/2023,oranges,2023,9,19,1
1011,9/19/2023,jam,2023,9,19,1
1011,9/19/2023,chicken,2023,9,19,1
1053,8/22/2023,bread,2023,8,22,1
1053,8/22/2023,chicken,2023,8,22,1
1053,8/22/2023,oranges,2023,8,22,1
1053,8/22/2023,beans,2023,8,22,1
1053,8/22/2023,milk,2023,8,22,1
1053,8/22/2023,spinach,2023,8,22,1
1050,5/11/2023,pasta,2023,5,11,3
1050,5/11/2023,eggs,2023,5,11,3
1074,2/7/2023,apples,2023,2,7,1
1074,2/7/2023,cereal,2023,2,7,1
1089,2/2/2023,bread,2023,2,2,3
1089,2/2/2023,butter,2023,2,2,3
1089,2/2/2023,oranges,2023,2,2,3
1089,2/2/2023,spinach,2023,2,2,3
1089,2/2/2023,milk,2023,2,2,3
1089,2/2/2023,apples,2023,2,2,3
1023,3/11/2023,cereal,2023,3,11,5
1023,3/11/2023,apples,2023,3,11,5
1023,3/11/2023,oranges,2023,3,11,5
1023,3/11/2023,yogurt,2023,3,11,5
1023,3/11/2023,pasta,2023,3,11,5
1010,12/16/2023,jam,2023,12,16,5
1010,12/16/2023,beans,2023,12,16,5
1010,12/16/2023,cereal,2023,12,16,5
1010,12/16/2023,butter,2023,12,16,5
1010,12/16/2023,spinach,2023,12,16,5
1010,12/16/2023,chicken,2023,12,16,5
1050,9/28/2023,pasta,2023,9,28,3
1050,9/28/2023,eggs,2023,9,28,3
1050,9/28/2023,bread,2023,9,28,3
1096,1/12/2023,oranges,2023,1,12,3
1096,1/12/2023,beans,2023,1,12,3
1096,1/12/2023,pasta,2023,1,12,3
1096,1/12/2023,chicken,2023,1,12,3
1054,9/30/2023,yogurt,2023,9,30,5
1054,9/30/2023,eggs,2023,9,30,5
1054,9/30/2023,spinach,2023,9,30,5
1054,9/30/2023,oranges,2023,9,30,5
1054,9/30/2023,cereal,2023,9,30,5
1019,5/22/2023,spinach,2023,5,22,0
1019,5/22/2023,pasta,2023,5,22,0
1019,5/22/2023,cheese,2023,5,22,0
1014,1/17/2023,rice,2023,1,17,1
1014,1/17/2023,cheese,2023,1,17,1
1014,1/17/2023,bread,2023,1,17,1
1014,1/17/2023,eggs,2023,1,17,1
1014,1/17/2023,pasta,2023,1,17,1
1008,2/21/2023,bread,2023,2,21,1
1008,2/21/2023,oranges,2023,2,21,1
1008,2/21/2023,rice,2023,2,21,1
1008,2/21/2023,beans,2023,2,21,1
1008,2/21/2023,spinach,2023,2,21,1
1008,2/21/2023,eggs,2023,2,21,1
1094,1/23/2023,oranges,2023,1,23,0
1094,1/23/2023,eggs,2023,1,23,0
1094,1/23/2023,chicken,2023,1,23,0
1094,1/23/2023,yogurt,2023,1,23,0
1094,1/23/2023,bread,2023,1,23,0
1017,9/15/2023,eggs,2023,9,15,4
1017,9/15/2023,yogurt,2023,9,15,4
1017,9/15/2023,pasta,2023,9,15,4
1017,9/15/2023,rice,2023,9,15,4
1040,10/23/2023,cheese,2023,10,23,0
1040,10/23/2023,beans,2023,10,23,0
1040,10/23/2023,cereal,2023,10,23,0
1040,10/23/2023,eggs,2023,10,23,0
1040,10/23/2023,milk,2023,10,23,0
1040,10/23/2023,jam,2023,10,23,0
1084,9/24/2023,apples,2023,9,24,6
1084,9/24/2023,milk,2023,9,24,6
1084,9/24/2023,yogurt,2023,9,24,6
1007,10/13/2023,spinach,2023,10,13,4
1007,10/13/2023,pasta,2023,10,13,4
1007,10/13/2023,jam,2023,10,13,4
1007,10/13/2023,beans,2023,10,13,4
1007,10/13/2023,yogurt,2023,10,13,4
1007,10/13/2023,apples,2023,10,13,4
1071,9/11/2023,cereal,2023,9,11,0
1071,9/11/2023,beans,2023,9,11,0
1085,7/15/2023,cereal,2023,7,15,5
1085,7/15/2023,pasta,2023,7,15,5
1085,7/15/2023,apples,2023,7,15,5
1085,7/15/2023,cheese,2023,7,15,5
1085,7/15/2023,jam,2023,7,15,5
1085,7/15/2023,milk,2023,7,15,5
1048,4/5/2023,oranges,2023,4,5,2
1048,4/5/2023,eggs,2023,4,5,2
1048,4/5/2023,yogurt,2023,4,5,2
1048,4/5/2023,milk,2023,4,5,2
1048,4/5/2023,jam,2023,4,5,2
1048,4/5/2023,spinach,2023,4,5,2
1007,10/15/2023,apples,2023,10,15,6
1007,10/15/2023,chicken,2023,10,15,6
1007,10/15/2023,yogurt,2023,10,15,6
1007,10/15/2023,jam,2023,10,15,6
1007,10/15/2023,spinach,2023,10,15,6
1031,5/11/2023,cereal,2023,5,11,3
1031,5/11/2023,beans,2023,5,11,3
1031,5/11/2023,butter,2023,5,11,3
1057,7/9/2023,chicken,2023,7,9,6
1057,7/9/2023,pasta,2023,7,9,6
1024,1/27/2023,apples,2023,1,27,4
1024,1/27/2023,beans,2023,1,27,4
1024,1/27/2023,rice,2023,1,27,4
1024,1/27/2023,cheese,2023,1,27,4
1005,2/7/2023,cheese,2023,2,7,1
1005,2/7/2023,spinach,2023,2,7,1
1005,2/7/2023,rice,2023,2,7,1
1092,12/10/2023,eggs,2023,12,10,6
1092,12/10/2023,oranges,2023,12,10,6
1092,12/10/2023,spinach,2023,12,10,6
1092,12/10/2023,cereal,2023,12,10,6
1092,12/10/2023,milk,2023,12,10,6
1092,12/10/2023,bread,2023,12,10,6
1027,4/8/2023,pasta,2023,4,8,5
1027,4/8/2023,cheese,2023,4,8,5
1061,5/5/2023,pasta,2023,5,5,4
1061,5/5/2023,eggs,2023,5,5,4
1061,5/5/2023,apples,2023,5,5,4
1061,5/5/2023,yogurt,2023,5,5,4
1061,5/5/2023,chicken,2023,5,5,4
1061,5/5/2023,cereal,2023,5,5,4
1099,5/25/2023,oranges,2023,5,25,3
1099,5/25/2023,chicken,2023,5,25,3
1099,5/25/2023,beans,2023,5,25,3
1099,5/25/2023,cereal,2023,5,25,3
1099,5/25/2023,milk,2023,5,25,3
1033,7/4/2023,spinach,2023,7,4,1
1033,7/4/2023,oranges,2023,7,4,1
1033,7/4/2023,yogurt,2023,7,4,1
1033,7/4/2023,butter,2023,7,4,1
1033,7/4/2023,cheese,2023,7,4,1
